Epoch: 0; Loss: 0.6421303088600571; Val_loss: 0.6166418050114051
Epoch: 1; Loss: 0.6023612744099385; Val_loss: 0.5803899590820643
Epoch: 2; Loss: 0.5792052488069277; Val_loss: 0.5683829173956924
Epoch: 3; Loss: 0.5715467697865254; Val_loss: 0.5633892947109712
Epoch: 4; Loss: 0.5678146175436072; Val_loss: 0.5608755837098768
Epoch: 5; Loss: 0.5647032663628861; Val_loss: 0.5589602872104475
Epoch: 6; Loss: 0.5623122640558191; Val_loss: 0.5565488981473552
Epoch: 7; Loss: 0.5600829488522298; Val_loss: 0.5543358759928537
Epoch: 8; Loss: 0.5580249883033134; Val_loss: 0.5530599581392475
Epoch: 9; Loss: 0.5564854560671626; Val_loss: 0.5513942316647861
Epoch: 10; Loss: 0.5550683337288934; Val_loss: 0.5501630613734186
Epoch: 11; Loss: 0.5538789307748949; Val_loss: 0.5496030817946758
Epoch: 12; Loss: 0.5527736905458811; Val_loss: 0.5485454759876489
Epoch: 13; Loss: 0.5518801183313937; Val_loss: 0.5474542329393166
Epoch: 14; Loss: 0.5510310836740442; Val_loss: 0.5473121801507216
Epoch: 15; Loss: 0.5503219913791966; Val_loss: 0.5463313879930383
Epoch: 16; Loss: 0.5496179777222711; Val_loss: 0.5453946103437731
Epoch: 17; Loss: 0.548946962163255; Val_loss: 0.5452807052617152
Epoch: 18; Loss: 0.5483168221808769; Val_loss: 0.5450379251676412
Epoch: 19; Loss: 0.5476579830453202; Val_loss: 0.543860477519611
Epoch: 20; Loss: 0.5471792904106346; Val_loss: 0.5436600761764991
Epoch: 21; Loss: 0.5466212272644043; Val_loss: 0.5427993573863745
Epoch: 22; Loss: 0.5461745767980009; Val_loss: 0.542420804954999
Epoch: 23; Loss: 0.545718037115561; Val_loss: 0.5423856033757802
Epoch: 24; Loss: 0.545281474654739; Val_loss: 0.541757959195589
Epoch: 25; Loss: 0.5449447751045227; Val_loss: 0.5413470376552741
Epoch: 26; Loss: 0.5445633272866945; Val_loss: 0.5411113945168492
Epoch: 27; Loss: 0.5442083713170645; Val_loss: 0.5405299883936987
Epoch: 28; Loss: 0.5438616137246828; Val_loss: 0.5400853625852544
Epoch: 29; Loss: 0.543569151775257; Val_loss: 0.5401412562918027
Epoch: 30; Loss: 0.5432796088424889; Val_loss: 0.539577888109481
Epoch: 31; Loss: 0.5430270913484935; Val_loss: 0.5394295858458309
Epoch: 32; Loss: 0.5427272896508912; Val_loss: 0.5395332845223753
Epoch: 33; Loss: 0.5424893720729931; Val_loss: 0.5393753419079956
Epoch: 34; Loss: 0.5422383276191918; Val_loss: 0.5392119178626559
Epoch: 35; Loss: 0.5420032958726625; Val_loss: 0.5390063027414616
Epoch: 36; Loss: 0.5417202237490061; Val_loss: 0.5388621423568629
Epoch: 37; Loss: 0.5415649204640776; Val_loss: 0.539076445972147
Epoch: 38; Loss: 0.5413143335161983; Val_loss: 0.5384141421833063
Epoch: 39; Loss: 0.5410913055007522; Val_loss: 0.5383375955052115
Epoch: 40; Loss: 0.5409318266688167; Val_loss: 0.5384304078894618
Epoch: 41; Loss: 0.5407066077799411; Val_loss: 0.5380204805425041
Epoch: 42; Loss: 0.5405006598781895; Val_loss: 0.5375365645943028
Epoch: 43; Loss: 0.5403215169906617; Val_loss: 0.537676204341491
Epoch: 44; Loss: 0.5401709659679516; Val_loss: 0.537725099387284
Epoch: 45; Loss: 0.539983674642202; Val_loss: 0.5375198066764745
Epoch: 46; Loss: 0.5398374457617063; Val_loss: 0.537304050207441
Epoch: 47; Loss: 0.5396014113683958; Val_loss: 0.53736541792277
Epoch: 48; Loss: 0.539462619858819; Val_loss: 0.5369670275963246
Epoch: 49; Loss: 0.5393349193237923; Val_loss: 0.536591711159431
Epoch: 50; Loss: 0.5391104955930968; Val_loss: 0.5367705127487037
Epoch: 51; Loss: 0.5389701405087033; Val_loss: 0.5368436621135193
Epoch: 52; Loss: 0.5388663775212056; Val_loss: 0.5370666647502701
Epoch: 53; Loss: 0.538690882437938; Val_loss: 0.5368550891645981
Epoch: 54; Loss: 0.538564260585888; Val_loss: 0.5367290029228869
Epoch: 55; Loss: 0.5384198762275078; Val_loss: 0.5362591853287199
Epoch: 56; Loss: 0.5382856307802973; Val_loss: 0.5358458649854648
Epoch: 57; Loss: 0.5381519269298862; Val_loss: 0.5360259124405654
Epoch: 58; Loss: 0.5380777458886843; Val_loss: 0.5360548111504794
Epoch: 59; Loss: 0.5379338518993274; Val_loss: 0.5360358600543748
Epoch: 60; Loss: 0.5378051319637814; Val_loss: 0.5355462484165856
Epoch: 61; Loss: 0.5376869304760082; Val_loss: 0.5358606500425666
Epoch: 62; Loss: 0.5375218004793734; Val_loss: 0.5354754371897541
Epoch: 63; Loss: 0.5374484075082315; Val_loss: 0.5359707024833602
Epoch: 64; Loss: 0.5373606875136092; Val_loss: 0.535531968219156
Epoch: 65; Loss: 0.5372279018969149; Val_loss: 0.535722694221264
Epoch: 66; Loss: 0.5371479665910875; Val_loss: 0.5350930713486338
Epoch: 67; Loss: 0.5370506705464544; Val_loss: 0.5352230913454271
Epoch: 68; Loss: 0.5369415953352644; Val_loss: 0.5351815990904841
Epoch: 69; Loss: 0.5368447722615423; Val_loss: 0.5351406992466355
Epoch: 70; Loss: 0.5367111106176634; Val_loss: 0.5352570808373079
Epoch: 71; Loss: 0.5366934296247121; Val_loss: 0.5351569011069011
Epoch: 72; Loss: 0.5365593868332941; Val_loss: 0.5355060559518758
Epoch: 73; Loss: 0.5364319082852956; Val_loss: 0.5351446885165901
